27/04/2020 09:36:06,Sri Lanka,571,+48,7 ,,126,438,2,27,0.3,15240,712
27/04/2020 09:36:06,San Marino,538,,41 ,,64,433,4,15856,1208,2074,61124
27/04/2020 09:36:06,Channel Islands,525,,35 ,,332,158,,3020,201,5342,30725
27/04/2020 09:36:06,Guatemala,500,+27,15 ,+2,49,436,5,28,0.8,7200,402
27/04/2020 09:36:06,Georgia,496,+10,6 ,,149,341,6,124,2,11504,2884
27/04/2020 09:36:06,DRC,459,+17,28 ,,50,381,,5,0.3,,
27/04/2020 09:36:06,Malta,450,+2,4 ,,286,160,1,1019,9,29456,66712
27/04/2020 09:36:06,Jordan,447,,7 ,,337,103,5,44,0.7,63737,6247
27/04/2020 09:36:06,Somalia,436,,23 ,,10,403,2,27,1,,
27/04/2020 09:36:06,Taiwan,429,,6 ,,290,133,,18,0.3,60956,2559
27/04/2020 09:36:06,Réunion,417,, ,,300,117,2,466,,,
27/04/2020 09:36:06,Mayotte,401,,4 ,,144,253,4,1470,15,2500,9164
27/04/2020 09:36:06,Mali,389,,23 ,,112,254,,19,1,2172,107
27/04/2020 09:36:06,Kenya,363,+8,14 ,,114,235,2,7,0.3,17992,335
27/04/2020 09:36:06,Jamaica,350,+45,7 ,,28,315,3,118,2,3262,1102
27/04/2020 09:36:06,Palestine,342,,2 ,,83,257,,67,0.4,27000,5293
27/04/2020 09:36:06,Mauritius,334,+2,9 ,,302,23,3,263,7,14445,11358
27/04/2020 09:36:06,Venezuela,325,,10 ,,137,178,3,11,0.4,423592,14896
27/04/2020 09:36:06,El Salvador,323,+25,8 ,,89,226,4,50,1,20109,3100
27/04/2020 09:36:06,Montenegro,321,,7 ,,153,161,7,511,11,5085,8096
27/04/2020 09:36:06,Isle of Man,308,,18 ,,247,43,22,3622,212,2854,33563
27/04/2020 09:36:06,Tanzania,299,,10 ,,48,241,7,5,0.2,,
27/04/2020 09:36:06,Sudan,275,+38,22 ,+1,21,232,,6,0.5,,
27/04/2020 09:36:06,Vietnam,270,, ,,225,45,8,3,,212965,2188
27/04/2020 09:36:06,Equatorial Guinea,258,,1 ,,8,249,,184,0.7,854,609
27/04/2020 09:36:06,Paraguay,228,,9 ,,85,134,1,32,1,7630,1070
27/04/2020 09:36:06,Maldives,226,+12, ,,17,209,2,418,,5296,9798
27/04/2020 09:36:06,Congo,200,,6 ,,19,175,,36,1,,
27/04/2020 09:36:06,Rwanda,191,, ,,92,99,,15,,6959,537
27/04/2020 09:36:06,Faeroe Islands,187,, ,,178,9,,3827,,6588,134826
27/04/2020 09:36:06,Gabon,176,,3 ,,30,143,1,79,1,572,257
